baslik,icerik,etiket,kaynak_url
"Suriye Dışişleri Bakanı Şeybani CNN TÜRK'e konuştu: “Erdoğan’ı her an bekliyoruz, Türkiye ile ilişkilerimiz tarihi”","Suriye Dışişleri Bakanı Esad Hasan Şeybani, CNN TÜRK’e yaptığı açıklamada Türkiye ile ilişkileri “tarihi” olarak tanımladı ve Cumhurbaşkanı Recep Tayyip Erdoğan’ın Suriye ziyaretine ilişkin “Her an bekliyoruz” dedi. SDG ile entegrasyon sürecinde anlaşmanın 10 Mart’ta imzalandığını ve her şeyin masada olduğunu belirten Şeybani, olası aksaklıklarda farklı diplomasi yöntemlerinin devreye gireceğini söyledi. Sürece dair umutlu olduğunu da “Evet, inşallah” sözleriyle dile getirdi. Detaylar CNN TÜRK’ten Büşra Arslantaş’ın özel röportajında.",0,https://www.cnnturk.com/video/dunya/suriye-disisleri-bakani-seybani-cnn-turke-konustu-erdogani-her-an-bekliyoruz-turkiye-ile-iliskilerimiz-tarihi-2369148
Şırnak'ta 2 firari hükümlü yakalandı,Şırnak'ta 2 firari hükümlü yakalandı,0,https://www.cnnturk.com/yerel-haberler/sirnak/sirnakta-2-firari-hukumlu-yakalandi-2369154
Mardin'de uyuşturucu operasyonu: 3 gözaltı,Mardin'de uyuşturucu operasyonu: 3 gözaltı,0,https://www.cnnturk.com/yerel-haberler/mardin/artuklu/mardinde-uyusturucu-operasyonu-3-gozalti-2369153
Kırşehir'de uyuşturucu operasyonunda 1 zanlı yakalandı,Kırşehir'de uyuşturucu operasyonunda 1 zanlı yakalandı,0,https://www.cnnturk.com/yerel-haberler/kirsehir/kirsehirde-uyusturucu-operasyonunda-1-zanli-yakalandi-2369152
Konyaspor'da Fenerbahçe maçı hazırlıkları başladı,"Konyaspor, Trendyol Süper Lig’in 16. haftasında Fenerbahçe’ye konuk olacağı karşılaşmanın hazırlıklarına başladı.",0,https://www.cnnturk.com/spor/futbol/konyasporda-fenerbahce-maci-hazirliklari-basladi-2369143
"Adliye soygununda yeni gelişme: Kaynana, kayınpeder, kayınbirader dahil 10 kişiye gözaltı","SON DAKİKA HABERLERİ...  Büyükçekmece Adliyesi soygununa ilişkin firari Erdal T.'nin kaynanası, kayınbiraderi ve kayınpederinin de aralarında 10 kişi gözaltına alındı.",0,https://www.cnnturk.com/turkiye/adliye-soygununda-yeni-gelisme-kaynana-kayinpeder-kayinbirader-dahil-10-kisiye-gozalti-2369141
Malatya'da lastiği patlayan otomobil takla attı: 4 yaralı,Malatya'da lastiği patlayan otomobil takla attı: 4 yaralı,0,https://www.cnnturk.com/yerel-haberler/malatya/malatyada-lastigi-patlayan-otomobil-takla-atti-4-yarali-2369144
Kütahya’da emniyet ve jandarmaya 78 yeni araç teslim edildi,Kütahya’da emniyet ve jandarmaya 78 yeni araç teslim edildi,0,https://www.cnnturk.com/yerel-haberler/kutahya/kutahyada-emniyet-ve-jandarmaya-78-yeni-arac-teslim-edildi-2369142
Cumhurbaşkanı Erdoğan davet etti: Macaristan Başbakanı Victor Orban Türkiye'ye geliyor,"SON DAKİKA HABERLERİ... Cumhurbaşkanı Recep Tayyip Erdoğan'ın davetiyle Macaristan Başbakanı Viktor Orban, 8 Aralık günü Türkiye'ye geliyor. İki lider görüşmede güncel bölgesel ve küresel meseleleri ele alacak.",0,https://www.cnnturk.com/turkiye/cumhurbaskani-erdogan-davet-etti-macaristan-basbakani-victor-orban-turkiyeye-geliyor-2369134
İzmir'de drift ve makas atan 2 sürücü yakalandı,İzmir'de drift ve makas atan 2 sürücü yakalandı,0,https://www.cnnturk.com/yerel-haberler/ankara/izmirde-drift-ve-makas-atan-2-surucu-yakalandi-2369139
Yozgat'ta uyuşturucu operasyonunda 1 zanlı yakalandı,Yozgat'ta uyuşturucu operasyonunda 1 zanlı yakalandı,0,https://www.cnnturk.com/yerel-haberler/yozgat/yozgatta-uyusturucu-operasyonunda-1-zanli-yakalandi-2369138
Gaziantep'te üç ayrı kazada 7 kişi yaralandı,Gaziantep'te üç ayrı kazada 7 kişi yaralandı,0,https://www.cnnturk.com/yerel-haberler/gaziantep/gaziantepte-uc-ayri-kazada-7-kisi-yaralandi-2369136
Uçağın motorlarını kapatmaya çalışmıştı: Kokpit ses kayıtları ortaya çıktı,"ABD’de Ekim 2023’te Alaska Airlines’a bağlı bir yolcu uçağında meydana gelen, pilot Joseph David Emerson'un uçağın motorlarını kapatmaya çalıştığı olayla ilgili kokpit ses kaydı ortaya çıktı.",0,https://www.cnnturk.com/dunya/ucagin-motorlarini-kapatmaya-calismisti-kokpit-ses-kayitlari-ortaya-cikti-2369121
İstanbul göle döndü: Sarıyer’e 24 saatte 50.8 kilogram yağış! Yol çöktü pikap ve kamoynet dereye düştü,"İstanbul’da etkili olan sağanak yağışın ardından kent genelinde sokak ve caddeler göle döndü. Meteorolojik verilere göre, 24 saatte metrekareye en fazla yağışın 50.8 kilogram ile Sarıyer’e düştüğü öğrenildi. Öte yandan Sarıyer, Uskumruköy'de kuvvetli yağış nedeniyle yolun çökmesi sonucu pikap ile kamyonet dereye düştü.",1,https://www.cnnturk.com/turkiye/istanbul-gole-dondu-sariyere-24-saatte-50-8-kilogram-yagis-yol-coktu-pikap-ve-kamoynet-dereye-dustu-2369120
Altınordu FK'ya puan morali,Altınordu FK'ya puan morali,0,https://www.cnnturk.com/yerel-haberler/izmir/altinordu-fkya-puan-morali-2369135
Kahramanmaraş'ta sağanak etkili oldu,Kahramanmaraş'ta sağanak etkili oldu,0,https://www.cnnturk.com/yerel-haberler/kahramanmaras/kahramanmarasta-saganak-etkili-oldu-2369137
Trabzon Büyükşehir Belediyesi kurslarında 1811 kişi eğitim görüyor,Trabzon Büyükşehir Belediyesi kurslarında 1811 kişi eğitim görüyor,0,https://www.cnnturk.com/yerel-haberler/trabzon/trabzon-buyuksehir-belediyesi-kurslarinda-1811-kisi-egitim-goruyor-2369131
"'Türkiye, Doğu Akdeniz'in en büyük oyuncusu oldu!' Yunan basını yazdı: Enerji oyununda denklem yeniden kuruluyor","Kiev ve Atina arasında kasım ayında imzalanan enerji anlaşmasıyla ABD sıvılaştırılmış doğal gazını (LNG) Dikey Koridor aracılığıyla Ukrayna'ya taşınmasının önü açıldı. Yunan basınına göre Atina, anlaşmayla ülkeyi bir enerji merkezine dönüştürdüğünü iddia etse de yeniden kurulan enerji denkleminin asıl kazananı Türkiye oldu. Türkiye'nin hem Zengezur Koridoru hem de jeopolitik önemi nedeniyle ""Doğu Akdeniz'in en büyük oyuncusu olduğu"" kaydedildi.",1,https://www.hurriyet.com.tr/dunya/turkiye-dogu-akdenizin-en-buyuk-oyuncusu-oldu-yunan-basini-yazdi-enerji-oyununda-denklem-yeniden-kuruluyor-43045799
"Galatasaray'la anılıyordu: Liverpool'da Mohamed Salah depremi! 'Kulüp beni otobüsün altına atıyormuş gibi hissediyorum, bu benim için kabul edilemez'","İsmi transferde Galatasaray'la anılan Liverpool'un Mısırlı yıldızı Mohamed Salah, Leeds United ile 3-3 berabere kaldıkları karşılaşmanın ardından yaptığı açıklamada, ""Maç boyunca yedek kulübesinde oturduğuma inanamadım. Kulüp beni otobüsün altına atıyormuş gibi hissediyorum, bu durum benim için kabul edilir değil"" ifadelerini kullanarak ayrılık sinyali verdi.",1,https://www.hurriyet.com.tr/sporarena/galatasarayla-aniliyordu-liverpoolda-mohamed-salah-depremi-kulup-beni-otobusun-altina-atiyormus-gibi-hissediyorum-bu-benim-43045619
Çok ciddi hastalıklara hatta ani ölüme yol açabiliyor! Uyku apnesi gençlerde de yaygınlaşıyor,"Modern çağın salgın hastalığı obezite nedeniyle günümüzde gençlerde de hızla yaygınlaşan uyku apnesi yaşam kalitesini düşürüp ciddi hastalıklara zemin hazırlarken, ani ölüme de yol açabiliyor.",1,https://www.hurriyet.com.tr/aile/galeri-cok-ciddi-hastaliklara-hatta-ani-olume-yol-acabiliyor-uyku-apnesi-genclerde-de-yayginlasiyor-43044120
Bilim insanlarından önemli keşif: Bu dört yaş beynimiz için çok kritik! Bir bulgu uzmanları bile şaşırttı,"İnsan doğduğu andan itibaren bir değişim süreci içinde. Özellikle beynimiz, her yaş döneminde farklı özellikler taşıyor. Geçtiğimiz günlerde İngiltere'de yapılan bir araştırmada, bu yaş dönemlerinin kırılma noktaları belirlendi. Elde edilen bazı sonuçlar, bilim insanlarını bile şaşkına uğrattı.",1,https://www.hurriyet.com.tr/aile/bilim-insanlarindan-onemli-kesif-bu-dort-yas-beynimiz-icin-cok-kritik-bir-bulgu-uzmanlari-bile-sasirtti-43039907
Bilinciniz saklasa da yüzünüz söylüyor: Uzmanlar yalanı ele veren 9 işareti açıkladı,"Gündelik yaşamda ister bir iş toplantısında olun ister ilk buluşmada, karşınızdaki kişinin gerçekten ne düşündüğünü anlamak her zaman kolay olmuyor. Ancak uzmanlar, bilinçaltı yüz hareketleri olan mikro ifadelerin, gizlenen duyguları açığa vurduğunu belirtiyor.",0,https://www.hurriyet.com.tr/aile/galeri-bilinciniz-saklasa-da-yuzunuz-soyluyor-uzmanlar-yalani-ele-veren-9-isareti-acikladi-43024181
Kralların tacına muhallebili saldırı,"İNGİLTERE’de aşırı zenginlerden daha fazla vergi alınmasını savunan “Take Back Power (Gücü Geri Al)” adlı grubun üyeleri, Londra Kulesi’nde İngiltere kral ve kraliçelerinin giydiği tacın bulunduğu cam muhafazaya muhallebili saldırı yaptı.",0,https://www.hurriyet.com.tr/dunya/krallarin-tacina-muhallebili-saldiri-43045535
Katalogdan ‘yabancı gelin’ tuzağı: Takıları da alıp kaçtılar,"Denizli merkezli 2 ilde, evlenmek isteyen erkekleri 5 ila 10 bin dolar arasında değişen para karşılığında, katalog üzerinden yabancı uyruklu kadınlarla tanıştırıp, ardından düğünde takılan altınları da alıp kaybolan kişilere yönelik operasyonda gözaltına alınan 5 şüpheli, adli kontrol şartıyla serbest bırakıldı.",0,https://www.hurriyet.com.tr/gundem/katalogdan-yabanci-gelin-tuzagi-takilari-da-alip-kactilar-43045553
Prenses Kate Noel korosunda,"İNGİLTERE’nin başkenti Londra’daki tarihi Westminster Abbey Kilisesi, bu yıl beşinci kez düzenlenen “Together at Christmas” adlı geleneksel Noel ayinine ev sahipliği yaptı.",0,https://www.hurriyet.com.tr/dunya/prenses-kate-noel-korosunda-43045533
"En genç balerin olacaktı, milyarder oldu... Serveti 1.3 milyar dolar","Brezilyalı Luana Lope Lara, balerin olma hayali kurarken ABD’de aldığı üniversite eğitimi sonrasında kurduğu Kalshi finansal piyasa platformuyla en genç milyarder oldu.",1,https://www.hurriyet.com.tr/dunya/en-genc-balerin-olacakti-milyarder-oldu-43045536
30 milyondan fazla ölüme neden olmuştu: ‘Kara Ölüm’ün sırrı çözüldü! Salgını hızlandıran mükemmel fırtına ortaya çıktı,"Orta Çağ’ın en ölümcül salgını Kara Ölüm’ün Avrupa’ya gelişi, yıllardır çözülemeyen bir sır olarak kaldı. Yeni araştırmalar ise felaketin ardında sadece bakteriler ve fareler değil, gizemli bir durumun olabileceğini ortaya koyuyor. Peki, bu devasa doğa olayı milyonlarca insanın kaderini nasıl değiştirdi? Ve tarihin en karanlık günlerinde gerçekten neler yaşandı?",1,https://www.hurriyet.com.tr/dunya/30-milyondan-fazla-olume-neden-olmustu-kara-olumun-sirri-cozuldu-salgini-hizlandiran-mukemmel-firtina-ortaya-cikti-43043497
Hindistan'da gece kulübünde yangın: 25 kişi öldü,Hindistan'ın Goa eyaletindeki gece kulübünde çıkan yangında ilk belirlemelere göre aralarında turistlerin de bulunduğu 25 kişi hayatını kaybetti.,0,https://www.hurriyet.com.tr/dunya/hindistanda-gece-kulubunde-yangin-25-kisi-oldu-43045624
Glutensiz tuzlu kek tarifi (Videolu),"Kekin her haline bayılıyoruz. Tarçınlısı portakallısı, cevizlisi üzümlüsü fark etmiyor. Ama bir de tuzlu kekler var ki lezzetine gerçekten doyum olmuyor. Bugün sizin için glutensiz un kullanarak harika bir tuzlu kek tarifi hazırladık. Zeytin ve kaşarın lezzet kattığı bu keke bayılacaksınız. Afiyet olsun...",0,https://www.hurriyet.com.tr/lezizz/glutensiz-tuzlu-kek-tarifi-videolu-43017704
Adalet Bakanı Yılmaz Tunç: Uzlaşma başarı oranımızı yüzde 83'e çıkardık,"Adalet Bakanı Yılmaz Tunç, ""Uzlaştırma uygulamasıyla 1 Ocak 2017'den bugüne kadar; müzakere süreci tamamlanan 2 milyon 413 bin 323 dosyanın 2 milyon 2 bin 488'ini uzlaşma ile sonuçlandırdık. Müzakeresi tamamlanan dosyalarda uzlaşma başarı oranımızı yüzde 83'e çıkardık"" dedi.",0,https://www.hurriyet.com.tr/gundem/adalet-bakani-yilmaz-tunc-uzlasma-basari-oranimizi-yuzde-83e-cikardik-43045707
ABD’den çifte baskı: Avrupa’ya NATO’dan çekiliriz resti,"ABD, Avrupa’yı kıskaca almaya devam ediyor. Pentagon, NATO içindeki Avrupalı ülkelerden savunma yükünün büyük bir kısmını 2027’ye kadar devralmasını isterken; Washington yayımladığı Ulusal Güvenlik Stratejisi belgesinde Avrupa’nın özgüvenden yoksun ve göç yüzünden medeniyetinin yok olma tehdidiyle karşı karşıya olduğunu öne sürdü.",0,https://www.hurriyet.com.tr/dunya/abdden-cifte-baski-avrupaya-natodan-cekiliriz-resti-43045554
Muhittin Böcek hastaneye kaldırıldı,"Antalya Cumhuriyet Başsavcılığının koordinesinde yürütülen ""rüşvet"" ve ""yolsuzluk"" soruşturmasında 5 Temmuz tarihinde gözaltına alınıp tutuklanan ve görevden uzaklaştırılan Antalya Büyükşehir Belediyesi eski başkanı Muhittin Böcek, gece saatlerinde sağlık şikayetleri sebebiyle 7'nci kez hastaneye kaldırıldı.",0,https://www.hurriyet.com.tr/gundem/muhittin-bocek-hastaneye-kaldirildi-43045531
Bursa’da şehit babasının evi yandı,Bursa'da iki binayı saran yangın yaklaşık 1 saat süren çalışmaların ardından kontrol altına alındı.,0,https://www.hurriyet.com.tr/gundem/bursada-sehit-babasinin-evi-yandi-43045480
"""Cumhurbaşkanına hakaret"" suçundan aranan zanlı yakalandı","""Cumhurbaşkanına hakaret"" suçundan aranması bulunan ve Çanakkale'de yakalanan şüpheli, tutuklandı.",0,https://www.hurriyet.com.tr/gundem/cumhurbaskanina-hakaretten-aranan-zanli-yakalandi-43045471
Patates çorbası tarifi,Bol tereyağı soslu ve terbiyeli patates çorbası tarifi!,0,https://www.hurriyet.com.tr/kelebek/mucize-lezzetler/sebze-yemekleri/patates-corbasi-tarifi-42969846
